TABLE NO.  1
 ID          TIME        DV          MDV         CMT         DL          IPRED       IWRES       DV          PRED        RES         WRES
  1.0000E+00  0.0000E+00  0.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0887E+00 -1.0887E+00  0.0000E+00  1.0887E+00  0.0000E+00  0.0000E+00
  1.0000E+00  0.0000E+00  0.0000E+00  1.0000E+00  2.0000E+00  1.0000E+00  1.0887E+00 -1.0887E+00  0.0000E+00  1.0887E+00  0.0000E+00  0.0000E+00
  1.0000E+00  0.0000E+00  0.0000E+00  1.0000E+00  3.0000E+00  1.0000E+00  1.0887E+00 -1.0887E+00  0.0000E+00  1.0887E+00  0.0000E+00  0.0000E+00
  1.0000E+00  2.0000E+00  1.2515E+00  0.0000E+00  1.0000E+00  1.0000E+00  8.2858E-01  4.2291E-01  1.2515E+00  8.2858E-01  4.2291E-01  2.4316E+00
  1.0000E+00  2.0000E+00  8.4523E-02  0.0000E+00  2.0000E+00  1.0000E+00  3.4260E-02  5.0263E-02  8.4523E-02  3.4260E-02  5.0263E-02  2.8899E-01
  1.0000E+00  2.0000E+00  2.8306E-01  0.0000E+00  3.0000E+00  1.0000E+00  1.9007E-01  9.2988E-02  2.8306E-01  1.9007E-01  9.2988E-02  5.3464E-01
  1.0000E+00  5.0000E+00  6.7949E-01  0.0000E+00  1.0000E+00  1.0000E+00  5.4645E-01  1.3305E-01  6.7949E-01  5.4645E-01  1.3305E-01  7.6495E-01
  1.0000E+00  5.0000E+00  9.7183E-02  0.0000E+00  2.0000E+00  1.0000E+00  5.5928E-02  4.1255E-02  9.7183E-02  5.5928E-02  4.1255E-02  2.3720E-01
  1.0000E+00  5.0000E+00  3.9320E-01  0.0000E+00  3.0000E+00  1.0000E+00  3.1462E-01  7.8573E-02  3.9320E-01  3.1462E-01  7.8573E-02  4.5176E-01
  1.0000E+00  1.0000E+01  3.9554E-01  0.0000E+00  1.0000E+00  1.0000E+00  2.6973E-01  1.2581E-01  3.9554E-01  2.6973E-01  1.2581E-01  7.2335E-01
  1.0000E+00  1.0000E+01  4.1413E-02  0.0000E+00  2.0000E+00  1.0000E+00  5.4691E-02 -1.3278E-02  4.1413E-02  5.4691E-02 -1.3278E-02 -7.6341E-02
  1.0000E+00  1.0000E+01  2.8224E-01  0.0000E+00  3.0000E+00  1.0000E+00  3.1336E-01 -3.1122E-02  2.8224E-01  3.1336E-01 -3.1122E-02 -1.7893E-01
  1.0000E+00  1.5000E+01  9.0704E-02  0.0000E+00  1.0000E+00  1.0000E+00  1.3197E-01 -4.1264E-02  9.0704E-02  1.3197E-01 -4.1264E-02 -2.3725E-01
  1.0000E+00  1.5000E+01  3.5984E-02  0.0000E+00  2.0000E+00  1.0000E+00  3.9933E-02 -3.9496E-03  3.5984E-02  3.9933E-02 -3.9496E-03 -2.2708E-02
  1.0000E+00  1.5000E+01  4.3938E-01  0.0000E+00  3.0000E+00  1.0000E+00  2.3203E-01  2.0735E-01  4.3938E-01  2.3203E-01  2.0735E-01  1.1922E+00
