TABLE NO.  1
 ID          TIME        DV          MDV         CMT         DL          DV          PRED        RES         WRES
  1.0000E+00  0.0000E+00  0.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  1.1147E+00  0.0000E+00  0.0000E+00
  1.0000E+00  0.0000E+00  0.0000E+00  1.0000E+00  2.0000E+00  1.0000E+00  0.0000E+00  1.1147E+00  0.0000E+00  0.0000E+00
  1.0000E+00  0.0000E+00  0.0000E+00  1.0000E+00  3.0000E+00  1.0000E+00  0.0000E+00  1.1147E+00  0.0000E+00  0.0000E+00
  1.0000E+00  2.0000E+00  1.2515E+00  0.0000E+00  1.0000E+00  1.0000E+00  1.2515E+00  8.6780E-01  3.8369E-01  2.2803E+00
  1.0000E+00  2.0000E+00  8.4523E-02  0.0000E+00  2.0000E+00  1.0000E+00  8.4523E-02  4.0064E-02  4.4459E-02  2.6422E-01
  1.0000E+00  2.0000E+00  2.8306E-01  0.0000E+00  3.0000E+00  1.0000E+00  2.8306E-01  1.7245E-01  1.1060E-01  6.5732E-01
  1.0000E+00  5.0000E+00  6.7949E-01  0.0000E+00  1.0000E+00  1.0000E+00  6.7949E-01  5.9607E-01  8.3424E-02  4.9580E-01
  1.0000E+00  5.0000E+00  9.7183E-02  0.0000E+00  2.0000E+00  1.0000E+00  9.7183E-02  6.3557E-02  3.3626E-02  1.9984E-01
  1.0000E+00  5.0000E+00  3.9320E-01  0.0000E+00  3.0000E+00  1.0000E+00  3.9320E-01  2.8970E-01  1.0350E-01  6.1510E-01
  1.0000E+00  1.0000E+01  3.9554E-01  0.0000E+00  1.0000E+00  1.0000E+00  3.9554E-01  3.1873E-01  7.6808E-02  4.5648E-01
  1.0000E+00  1.0000E+01  4.1413E-02  0.0000E+00  2.0000E+00  1.0000E+00  4.1413E-02  5.9856E-02 -1.8443E-02 -1.0961E-01
  1.0000E+00  1.0000E+01  2.8224E-01  0.0000E+00  3.0000E+00  1.0000E+00  2.8224E-01  2.9879E-01 -1.6551E-02 -9.8362E-02
  1.0000E+00  1.5000E+01  9.0704E-02  0.0000E+00  1.0000E+00  1.0000E+00  9.0704E-02  1.7043E-01 -7.9726E-02 -4.7382E-01
